book_name,book_text
a_is_for_awesome,"A is for the awesome aviator Amelia Earhart, the first woman to fly solo across the Atlantic. ""The stars seemed near enough to touch and never before have I seen so many.""

""Don't try to lessen yourself for the world; let the world catch up to you.""

B is for Beyoncé: singer, songwriter, actress, producer, and all-around icon.

""In order to be irreplaceable, one must always be different.""

C is for the forever-chic Coco Chanel, designer and OG girlboss.

D is for Dorothy Hodgkin, a crystallographer who won the Nobel Prize for succeeding in the impossible.

""We are here, not because we are lawbreakers; we are here in our efforts to become lawmakers.""

E is for the defiant suffragette Emmeline Pankhurst, who helped women win the right to vote.

When anyone tells me I can't do anything... I'm just not listening anymore.

F is for the flamboyant and fierce Flo Jo, the fastest woman of all time.

""To create one's world in any of the arts takes courage.""

G is for the groundbreaking artist Georgia O'Keffe, mother of the modernist art movement.

""I was the conductor of the Underground Railroad for eight years, and I can say what most conductors can't say—I never ran my train off the track and I never lost a passenger.""

H is for Harriet Tubman, the brave abolitionist who helped hundreds of slaves to freedom.

I is for fashion legend Iris Apfel, who proves that your own style is the best style of all. ""When you don't dress like everybody else, you don't have to think like everybody else.""

J is for chef and author Julia Child, whose zest for French cooking inspired millions. ""Learn from your mistakes, be fearless, and above all have fun.""

""Courage is when you have a choice, and you choose to be courageous.""

K is for Katharine Graham, the formidable first female publisher of The Washington Post.

L is for Lucille Ball, comedic genius and the first woman ever to run a major television studio.

""When the whole world is silent, even one voice becomes powerful.""

M is for Malala, whose rallying cry for equality in education was heard around the world.

I'll tell you what freedom is to me: no fear.

N is for the tempestuous and talented Nina Simone, singer, songwriter, and activist.

O is for Oprah, self-made television icon, philanthropist, role model—the list goes on. ""I wish you curiosity and confidence, and I wish you ethics and enlightenment. I wish you guts.""

P is for Pat McGrath, makeup maestro and businesswoman. ""Creativity is the most important skill—don't be scared to experiment.""

""I am not afraid of anything.""

Q is for Queen Elizabeth I, whose quick wit, strategy, and tenacity brought a golden age to England.

R is for Ruth Bader Ginsburg, Supreme Court justice and the queen of dissent. ""Fight for the things that you care about, but do it in a way that will lead others to join you.""

S is for Sacagawea, intrepid interpreter and guide for Lewis and Clark's historic expedition.

""I believe that if you'll just stand up and go, life will open up for you.""

T is for rock-and-roll superstar Tina Turner, who holds the record for the most concert tickets sold by a single performer.

U is for Ursula K. Le Guin, prolific and prize-winning science fiction author. ""We read books to find out who we are... what we ourselves are and may become.""

V is for Venus, Roman goddess of love, beauty, and victory.

W is for Wu Zetian, the one and only female emperor in Chinese history.

...and X, Y, and Z are for Extraordinary You, and the zillions of brilliant, brave adventures you will have."
amelia_bedilia,"""Oh, Amelia Bedelia, your first day of work, and I can't be here. But I made a list for you. You do just what the list says,"" said Mrs. Rogers. Mrs. Rogers got into the car with Mr. Rogers. They drove away.

""My, what nice folks. I'm going to like working here,"" said Amelia Bedelia.

Amelia Bedelia went inside. ""Such a grand house. These must be rich folks. But I must get to work. Here I stand just looking. And me with a whole list of things to do."" Amelia Bedelia stood there a minute longer. ""I think I'll make a surprise for them. I'll make lemon-meringue pie. I do make good pies.""

So Amelia Bedelia went into the kitchen. She put a little of this and a pinch of that into a bowl. She mixed and she rolled. Soon her pie was ready to go into the oven. ""There,"" said Amelia Bedelia. ""That's done.""

""Now let's see what this list says."" Amelia Bedelia read, Change the towels in the green bathroom. Amelia Bedelia found the green bathroom. ""Those towels are very nice. Why change them?"" she thought. Then Amelia Bedelia remembered what Mrs. Rogers had said. She must do just what the list told her. ""Well, all right,"" said Amelia Bedelia. Amelia Bedelia got some scissors. She snipped a little here and a little there. And she changed those towels. ""There,"" said Amelia Bedelia.

She looked at her list again. Dust the furniture. ""Did you ever hear tell of such a silly thing? At my house we undust the furniture. But to each his own way."" Amelia Bedelia took one last look at the bathroom. She saw a big box with the words Dusting Powder on it. ""Well, look at that. A special powder to dust with!"" exclaimed Amelia Bedelia. So Amelia Bedelia dusted the furniture. ""That should be dusty enough. My, how nice it smells.""

Draw the drapes when the sun comes in: read Amelia Bedelia. She looked up. The sun was coming in. Amelia Bedelia looked at the list again. ""Draw the drapes? That's what it says. I'm not much of a hand at drawing, but I'll try."" So Amelia Bedelia sat right down and she drew those drapes. Amelia Bedelia marked off about the drapes. ""Now what?""

Put the lights out when you finish in the living room. Amelia Bedelia thought about this a minute. She switched off the lights. Then she carefully unscrewed each bulb. And Amelia Bedelia put the lights out. ""So those things need to be aired out, too. Just like pillows and babies. Oh, I do have a lot to learn.""

""My pie!"" exclaimed Amelia Bedelia. She hurried to the kitchen. ""Just right,"" she said. She took the pie out of the oven and put it on the table to cool. Then she looked at the list. Measure two cups of rice. ""That's next,"" said Amelia Bedelia. Amelia Bedelia found two cups. She filled them with rice. And Amelia Bedelia measured that rice. Amelia Bedelia laughed. ""These folks do want me to do funny things."" Then she poured the rice back into the container.

The meat market will deliver a steak and a chicken. Please trim the fat before you put the steak in the icebox. And please dress the chicken. When the meat arrived, Amelia Bedelia opened the bag. She looked at the steak for a long time. ""Yes,"" she said. ""That will do nicely."" Amelia Bedelia got some lace and bits of ribbon. And Amelia Bedelia trimmed that fat before she put the steak in the icebox. ""Now I must dress the chicken. I wonder if she wants a he chicken or a she chicken?"" said Amelia Bedelia. Amelia Bedelia went right to work. Soon the chicken was finished.

Amelia Bedelia heard the door open. ""The folks are back,"" she said. She rushed out to meet them. ""Amelia Bedelia, why are all the light bulbs outside?"" asked Mr. Rogers. ""The list just said to put the lights out,"" said Amelia Bedelia. ""It didn't say to bring them back in. Oh, I do hope they didn't get aired too long.""

""Amelia Bedelia, the sun will fade the furniture. I asked you to draw the drapes,"" said Mrs. Rogers. ""I did! I did! See,"" said Amelia Bedelia. She held up her picture. Then Mrs. Rogers saw the furniture. ""The furniture!"" she cried. ""Did I dust it well enough?"" asked Amelia Bedelia. ""That's such nice dusting powder.""

Mr. Rogers went to wash his hands. ""I say,"" he called. ""These are very unusual towels."" Mrs. Rogers dashed into the bathroom. ""Oh, my best towels,"" she said. ""Didn't I change them enough?"" asked Amelia Bedelia. Mrs. Rogers went to the kitchen. ""I'll cook the dinner. Where is the rice I asked you to measure?"" ""I put it back in the container. But I remember—it measured four and a half inches,"" said Amelia Bedelia.

""Was the meat delivered?"" asked Mrs. Rogers. ""Yes,"" said Amelia Bedelia. ""I trimmed the fat just like you said. It does look nice."" Mrs. Rogers rushed to the icebox. She opened it. ""Lace! Ribbons! Oh, dear!"" said Mrs. Rogers. ""The chicken—you dressed the chicken?"" asked Mrs. Rogers. ""Yes, and I found the nicest box to put him in,"" said Amelia Bedelia. ""Box!"" exclaimed Mrs. Rogers. Mrs. Rogers hurried over to the box. She lifted the lid. There lay the chicken. And he was just as dressed as he could be.

Mrs. Rogers was angry. She was very angry. She opened her mouth. Mrs. Rogers meant to tell Amelia Bedelia she was fired. But before she could get the words out, Mr. Rogers put something in her mouth. It was so good Mrs. Rogers forgot about being angry. ""Lemon-meringue pie!"" she exclaimed. ""I made it to surprise you,"" said Amelia Bedelia happily. So right then and there Mr. and Mrs. Rogers decided that Amelia Bedelia must stay. And so she did. Mrs. Rogers learned to say undust the furniture, unlight the lights, close the drapes, and things like that. Mr. Rogers didn't care if Amelia Bedelia trimmed all of his steaks with lace. All he cared about was having her there to make lemon-meringue pie."
are_you_my_mother,"A mother bird sat on her egg. The egg jumped.

""Oh, oh!"" said the mother bird. ""My baby will be here! He will want to eat! I must get something for my baby to eat!"" she said. ""I will be back.""

So away she went. The egg jumped. It jumped and jumped and jumped. Out came the baby bird. There he is.

""Where is my mother?"" he said.

He looked for her. He looked up. He did not see her. He looked down. He did not see her. ""I will go and look for her,"" he said. So away he went. Down, out of the tree he went. Down, down, down, plop!

It was a long way down. He could not fly, but he could walk. ""Now I will go and find my mother,"" he said. He did not know what his mother looked like. He went right by her. He did not see her.

He came to a kitten. ""Are you my mother?"" he said to the kitten. The kitten just looked and looked. It did not say a thing. The kitten was not his mother, so he went on. Then he came to a hen. ""Are you my mother?"" he said to the hen. ""No,"" said the hen. The kitten was not his mother. The hen was not his mother. So the baby bird went on. Then he came to a dog. ""Are you my mother?"" he said to the dog. ""I am not your mother, I am a dog,"" said the dog.

Just then, the baby bird saw a big thing. This must be his mother. ""There she is,"" he said. ""There is my mother!"" ""Mother, mother, here I am, mother!"" he said to the big thing.

But the big thing just said snort. ""Oh, you are not my mother,"" said the baby bird. ""You are a snort. I have to get out of here!"" But the baby bird could not get away. The snort went up. It went way, way up. And up, up, up went the baby bird.

But now where was the snort going? ""Oh, oh, oh, what is this snort going to do to me?"" ""Get me out of here!""

Just then the snort came to a stop. ""Where am I?"" said the baby bird. ""I want to go home! I want my mother!""

Then something happened. The snort put that baby bird back in the tree. The baby bird was home.

Just then the mother bird came back to the tree.

""Do you know who I am?"" she said to her baby.

""Yes, I know who you are,"" said the baby bird. ""You are not a kitten. You are not a hen. You are not a dog. You are not a cow. You are not a boat or a plane or a snort. You are a bird! And you are my mother!"""
barnyard_banter,"Cows in the pasture, moo, moo, moo. Roosters in the barnyard, cock-a-doodle-doo. Hens in the henhouse, cluck, cluck, cluck. Pigs in the wallow, muck, muck, muck. But Where's Foose? Kittens in the hayloft mew, mew, mew. Pigeons coo, coo, coo. Rats squeak, squeak, squeak. Peacocks in the wire pen, shriek, shriek, shriek. But where's Goose? Donkeys in the paddock, hee, haw, haw. Crows in the cornfield, caw, caw, caw. Crickets in the stone wall, chirp, chirp, chirp, chirp. Frogs in the farm pond, burp, burp, burp. But where's Goose? Moo, moo, moo. Cock-a-doodle-doo. Cluck, cluck, cluck. Muck, muck, muck. Mew, mew. Goo, coo, coo. Squeak, squeak, squeak. Shriek, shriek, shriek. Hee, haw. Caw, caw, caw. Chirp, chirp, chirp. Burp, burp, burp. But where's Goose? There's Goose! Honk, honk, honk."
bear_feels_scared,"In the deep, dark woods by the Strawberry Vale, a big bear lumbers down a small, crooked trail. Bear's tummy grows as he looks for a snack. But it's cold, cold, cold, so the bear turns back. He is not home yet when the sun starts to set and the bear feels scared.

The path gets dimmer and the sky grows gray. Bear looks to and fro, but he can't find his way. He huddles by a tree and he wails, ""Poor me!"" And the bear feels scared.

Meanwhile, back in the warm, cozy lair, friends start to worry for their poor, lost Bear. Wren tweets from his perch, ""We must all go search! What if Bear feels scared?""

The friends bundle up and begin to prepare. They form a search party for their lost friend Bear. But Bear is all alone and he sheds big tears. There's a noise in the forest and he feels big fears. Bear trembles in the wind. How he longs for a friend. And the bear feels scared.

Badger lights a lamp and he shouts, ""Let's go!"" All the birds search high while the rest search low. With a flounce and a flutter they set off together. They trudge down the trail through the wild, wet weather. They call, ""Ho, Bear, are you there? Are you there?"" And the bear feels scared.

But he perks up his ears. Is it Mole calling out? And is that Hare's voice? Wren, Owl, and Raven all squawk from the sky: ""It is Bear! He is there!"" By a tree waits Bear, ten feet from his log? And the bear looks scared.

With a flap and flurry all the friends gather near. They give him bear hugs—they calm his bear fears. Later in the night, all clustered in a heap, the bear spins stories while his friends fall asleep. Cuddled up tight, they snore through the night. And the bear feels safe."
bernstein_bears_trouble_with_money,"Brother Bear and Sister Bear knew quite a lot about the ways of Bear Country. They knew where the most beautiful wild flowers grew. They knew where the wild berries were the thickest and juiciest. They knew the best spot for watching sunrises and sunsets. They knew where all the best honey trees were. They even knew a very special place where you could almost always see a rainbow—from a secret space behind the waterfall.

But there were some things they didn't know very much about. One of the things Brother and Sister Bear didn't understand very well was money. Oh, they knew money was fun to have and even more fun to spend. And whenever they got some as a present, or for doing a chore for a neighbor, or for no reason at all from Grizzly Gramps, who tended to spoil them, or from Papa Bear, who spoiled them even more—they ran as fast as their legs could carry them to the Bear Country Mall and spent it for honeycomb on a stick, a balsawood glider that did loops, a tiny little mouth organ that only played three notes. They never bought anything sensible, and they hardly ever saved. Once in a while Sister put money in her piggy bank. But she usually shook it out again before it had a chance to cool off from her hot little hand. Brother didn't even have a piggy bank.

But it was Papa who first lost patience with their carelessness about money. It happened one day when the cubs had been at a mall spending some pennies a neighbor had given them for walking her dog. That was when they saw the new video game. It was called Astro Bear and it looked very exciting.

""A video game! At the mall!"" Papa shouted. ""You must think I'm made of money!"" The cubs thought no such thing, and when they pictured it, it seemed very strange. Mama could see that they were puzzled and she explained: ""'Made of money' is just a figure of speech, my dears."" That's when the cubs realized that the situation was serious. Because Papa Bear only used figures of speech when he was upset. ""You must think money grows on trees!"" he shouted. Another figure of speech.

""Video games, indeed!"" he continued, becoming more and more upset. ""There was no such thing as video games when I was a cub! Why, I didn't know what money was until I was almost grown!""

""Precisely, my dear,"" interrupted Mama. ""And that's why this might be a very good time to start Brother and Sister on a regular allowance, so they can—""

""Absolutely not!"" roared Papa, knocking over a chair. ""They must earn their money! That's what life is about—working, earning money, saving for a rainy day!""

The cubs knew how really serious the situation must be. Papa had used three figures of speech and knocked over a chair. They decided right then and there to mend their careless, spendthrift ways.

It turned out that the cubs were very good at earning money once they set their minds to it. First they gathered wild flowers from those special places they knew about. Then they made them into bouquets and sold them by the side of the road. Business was very good. They gathered those fat, juicy wild berries and sold them door-to-door. Business was very, very good.

Brother and Sister were turning out to be even better at making money than they had been at spending it. They organized guided tours of Bear Country's finest beauty spots. Sister's piggy bank was jammed full. They started a very successful pet-minding service. Brother had to borrow Mama's sugar bowl to keep the extra money in.

At first Papa was very impressed and pleased. But when the cubs started to sell maps showing the locations of all the best honey trees, Papa began to have doubts.

""Those honey trees are a family secret,"" he complained. ""The cubs don't seem to understand that some things are more important than money. They've gone from caring too little about money to caring too much. Why, just look at them! They're turning into greedy, selfish little misers right before our eyes!"" he continued. He pointed at the cubs, who did, indeed, look like little misers greedily counting their money.

""Cubs,"" said Papa in his sternest voice, ""we're going to have to have another talk."" But before he could start his speech, the cubs took all the money they had earned selling flowers and berries, doing chores, minding pets, and selling honey-tree maps and dumped it on his lap.

""Here, Papa!"" said Brother. ""This is for you!""

""That's right,"" said Sister. ""We thought if we made some money for you, you wouldn't have to worry about it so much. We hope it's enough."" Papa was so startled, and so embarrassed at having been so wrong about them, that he was speechless.

""That's very generous!"" said Mama. ""It's quite a sum of money and I know Papa appreciates it. But I have what may be a better idea. Papa does worry about money, of course. Most mamas and papas do from time to time. But what Papa is really worried about is you. He wants to be sure you understand that there's more to know about money than how to spend it!""

""You know what I think?"" said Papa. ""I think we should start Brother and Sister on a regular allowance so they can learn to use money sensibly—to save, to plan ahead.""

""An excellent idea!"" said Mama, smiling.

""What about the money we earned?"" asked the cubs. ""You earned it, and it's yours,"" said Mama. ""What I suggest is that we take it down to the mall and put it in the Bear Country Bank."" ""Good suggestion,"" said Papa. ""That money can be your 'nest egg'.""

""Oh, dear!"" cried the cubs together. ""Another figure of speech!""

""And a very appropriate one,"" said Mama. She explained that the 'nest egg' is the one the farmer leaves in the nest to hatch another chick. ""When you put money in the bank, it 'hatches' interest.""

""Interest?"" asked the cubs, puzzled.

""The bank will pay you for leaving your money there. That's called 'interest'.""

That day the Bear family went to the bank and opened an account for the cubs. It happened that the bank was right next to the video arcade. ""Say, that looks interesting,"" said Papa when he saw the Astro Bear game. ""Let's give it a try!"" So the Bear family gave Astro Bear a try. Papa ended up with the lowest score. ""You know,"" he said, ""we didn't have video games when I was a cub. Will you give me another chance at this sometime?""

""Any time at all!"" said Brother and Sister, giving their papa a great big hug."
blue_hat_green_hat,"Blue Hat, Green Hat, Red Hat, Oops. Red Shirt, Blue Shirt, Yellow Shirt, Oops. Yellow Pants, Red Pants, Green Pants, Oops. Blue Coat, Oops. Red Socks, Oops. Green Shoes, Yellow Shoes, Blue Shoes, Oops. Yellow Hat, Green Shirt, Blue Pants (Purple Socks!) Red Shoes Oops. Serious silliness for all ages."
bluey_the_pool,"It's a hot summer's day, and Bluey wants to know what the family is going to do. ""Nothing, until you've cleaned your teeth,"" says Mum. But Bluey doesn't want to. THAT'S BORING! ""Boring things are IMPORTANT, too,"" says Mum. Bluey thinks that if boring things were important, then they'd be more FUN. Dad bursts in. ""Let's go for a swim in Uncle Stripe's pool!"" he yells. ""Yeah!"" cry the girls. ""Don't forget the swim stuff,"" calls Mum. But Bluey, Bingo and Dad are already rushing out of the door and into the car. ""Mum is such a fusspot. She always makes us do BORING things,"" says Bluey. ""She does,"" says Dad. When they get to Uncle Stripe's, Bluey leaps down on to the footpath. It's hot! Bluey and Bingo don't have their sandals. OW! OW! EE! EE! So Dad ends up carrying them. I'm a Giraffe! Then it's time for Bluey and Bingo to put on their rash vests and sunscreen. But Dad's forgotten them. ""We'll just have to stay in the shady bit, and we'll put our hats on,"" says Dad. ""What hats?"" asks Bluey. Bluey does a cannonball into the pool. This is going to be FUN! Bingo wants to jump in, too. ""Dad, can I have my floaties?"" she asks. ""Sorry, Squirt, I didn't bring them,"" says Dad. Bingo's not sure about the crawly thing either! Bluey wants to swim all the way to the other end of the pool. But she can't go into the sunny bit. ""You've got no sunscreen on,"" Dad reminds her. ""Dad, is the shady bit going to get BIGGER or smaller?"" asks Bluey. ""Ah... BIGGER, for sure,"" says Dad. ""I meant smaller,"" says Dad. The pool doesn't seem that much FUN any more. Dad, I'm bored. Dad, I'm cold. Dad, I'm freezing. Dad, I'm hungry. Dad, I'm starving. DAD! DAD! DAD! DAD! DAD! DAD! ""OK. Can everyone stop saying 'Dad'!"" says Dad. ""I think Dad is actually BORING. Mum is way more FUN!"" declares Bluey. A warm voice floats into the pool area. ""Oh, that's nice to hear,"" says Mum. ""I brought all the swim stuff you left behind."" MUM! MUM! Mum even remembered to bring morning tea. After they've eaten, Mum helps Bluey put on some sunscreen. And Dad helps Bingo with her floaties. ""So BORING things are IMPORTANT sometimes then?"" asks Mum. ""Yes!"" agrees Bluey. Goggles mean Bluey can play Torpedo. Floaties mean Bingo can escape from the crawly thing. And sinkies take you to the very bottom of the pool... where you can see all sorts of things. Bluey and Bingo head to the pool with Dad. What could go wrong? There's more? Wackadoo!"
chicka_chicka_boom_boom,"A told B, and B told C, ""I'll meet you at the top of the coconut tree."" ""Whee!"" said D to E F G, ""I'll beat you to the top of the coconut tree."" Chicka chicka boom boom! Will there be enough room? Here comes H up the coconut tree, and I and J and tag-along K, all on their way up the coconut tree. Chicka chicka boom boom! Will there be enough room? Look who's coming! L M N O P! And Q R S! And T U V! Still more—W! And X Y Z! The whole"
chrysanthemum,"The day she was born was the happiest day in her parents' lives. ""She's perfect,"" said her mother. ""Absolutely,"" said her father. And she was. She was absolutely perfect. ""Her name must be everything she is,"" said her mother. ""Her name must be absolutely perfect,"" said her father. And it was. Chrysanthemum. Her parents named her Chrysanthemum. Chrysanthemum grew and grew and grew. And when she was old enough to appreciate it, Chrysanthemum loved her name. She loved the way it sounded when her mother woke her up. She loved the way it sounded when her father called her for dinner. And she loved the way it sounded when she whispered it to herself in the bathroom mirror. Chrysanthemum, Chrysanthemum, Chrysanthemum. Chrysanthemum loved the way her name looked when it was written with ink on an envelope. She loved the way it looked when it was written with icing on her birthday cake. And she loved the way it wrote it herself with her fat orange crayon. Chrysanthemum, Chrysanthemum, Chrysanthemum. Chrysanthemum thought her name was absolutely perfect. And then she started school. On the first day, Chrysanthemum wore her sunnest dress and her brightest smile. She ran all the way. ""Hooray!"" said Chrysanthemum, ""School!"" But when Mrs. Chud took roll call, everyone giggled upon hearing Chrysanthemum's name. Mrs. Chud DON EVE LOIS AL LES TAY MAX SUE BILL BOT TOM DAN KEN JO SUE VICTORIA CHRYSANTHEMUM ""It's so long,"" said Jo. ""It scarcely hits on your name tate,"" said Rita, pointing. ""I'm named after my grandmother,"" said Victoria. ""You're named after a flower!"" Chrysanthemum wilted. She did not think her name was absolutely perfect. She thought it was absolutely dreadful. ""If I had a name like yours, I'd change it,"" Victoria said as the students lined up to go home. I wish I could, thought Chrysanthemum miserably. ""Welcome home!"" said her mother. ""Welcome home!"" said her father. ""School is no place for me,"" said Chrysanthemum. ""My name is too long. It scarcely fits on my name tag. And I'm named after a flower!"" ""Oh, pish,"" said her mother. ""Your name is beautiful."" ""And precious and priceless and fascinating and winsome,"" said her father. ""It's everything you are,"" said her mother. ""Absolutely perfect,"" said her father. Chrysanthemum felt much better after her favorite dinner (macaroni and cheese with ketchup) and an evening filled with hugs and kisses and Parcheesi. That night Chrysanthemum dreamed that her name was Jane. It was an extremely pleasant dream. The next morning Chrysanthemum wore her most comfortable jumper. She walked to school as slowly as she could. Chrysanthemum, Chrysanthemum, Chrysanthemum, she wrote. ""She even looks like a flower,"" said Victoria, as Chrysanthemum entered the playground. ""Let's pick her,"" said Rita, pointing. ""Let's smell her,"" said Jo. Chrysanthemum wilted. She did not think her name was absolutely perfect. She thought it was absolutely dreadful. ""I just cannot believe your name,"" Victoria said as the students lined up to go home. Neither can I, thought Chrysanthemum miserably. ""Welcome home!"" said her mother. ""Welcome home!"" said her father. ""School is no place for me,"" said Chrysanthemum. ""They said I even look like a flower. They pretended to pick me and smell me."" ""Oh, pish,"" said her mother. ""They're just jealous."" ""And envious and begrudging and discontented and jaundiced,"" said her father. ""Who wouldn't be jealous of a name like yours?"" said her mother. ""After all, it's absolutely perfect,"" said her father. Chrysanthemum felt a trifle better after her favorite dessert (chocolate cake with buttercream frosting) and another evening filled with hugs and kisses and Parcheesi. That night Chrysanthemum dreamed that she really was a chrysanthemum. She sprouted leaves and petals. Victoria picked her and plucked the leaves and petals one by one until there was nothing left but a scrawny stem. It was the worst nightmare of Chrysanthemum's life. Chrysanthemum wore her outfit with seven pockets the next morning. She loaded the pockets with her most prized possessions and her good-luck charms. Chrysanthemum took the longest route possible to school. She stopped and stared at each and every flower. ""Chrysanthemum, Chrysanthemum, Chrysanthemum,"" the flowers seemed to say. That morning the students were introduced to Mrs. Twinkle, the music teacher. Her voice was like something out of a dream, as was everything else about her. The students were speechless. They thought Mrs. Twinkle was an indescribable wonder. They went out of their way to make a nice impression. ""Chrysanthemum's a daisy! Chrysanthemum's a daisy!"" Jo, Rita, and Victoria chanted, thinking it was wildly funny. Chrysanthemum wilted. She did not think her name was absolutely perfect. She thought it was absolutely dreadful. ""What's so humorous?"" asked Mrs. Twinkle. ""Chrysanthemum!"" was the answer. ""Her name is so long,"" said Jo. ""It scarcely fits on her name tag,"" said Rita, pointing. ""I'm named after my grandmother,"" said Victoria. ""She's named after a flower!"" ""My name is long,"" said Mrs. Twinkle. ""It is?"" said Jo. ""My name would scarcely fit on a name tag,"" said Mrs. Twinkle. ""I would?"" said Rita, pointing. ""And—"" said Mrs. Twinkle, ""I'm named after a flower, too!"" ""You are?"" said Victoria. ""Yes,"" said Mrs. Twinkle. ""My name is Delphinium."" Delphinium Twinkle. And if my baby is a girl, I'm considering Chrysanthemum as a name. I think it's absolutely perfect."" Chrysanthemum could scarcely believe her ears. She blushed. She beamed. She bloomed. Chrysanthemum, Chrysanthemum, Chrysanthemum. Jo, Rita, and Victoria looked at Chrysanthemum longingly. ""Call me Marigold,"" said Jo. ""I'm Carnation,"" said Rita, pointing. ""My name is Lily of the Valley,"" said Victoria. Chrysanthemum did not think her name was absolutely perfect. She knew it! Overall, the class musicale was a huge success. Chrysanthemum was absolutely perfect as a daisy. Victoria made the only mistake: She completely forgot her lines as the dainty Fairy Queen. Chrysanthemum thought it was wildly funny, and she giggled throughout the entire Dance of the Flowers. Eventually, Mrs. Twinkle gave birth to a healthy baby girl. And, of course, she named her Chrysanthemum."
